OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2698,32002134,-3.43204931,41.40734135,0,0,0,4.4,4.82,12.61,7.5,0,31.1,1.1,66.5,B11,U111,ES,ES4,ES41,ES416,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2699,32002162,-3.487027523,41.6559103,0,0,0,7.5,8.09,13.18,3.3,71,9.8,0.6,144.2,F40,U112,ES,ES4,ES41,ES412,Bareland,Other bare soil,Fallow land
2700,32002166,-3.494930909,41.69141148,0,0,0,7.6,8.2,17.9,10.9,233,8.1,1,151.1,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2701,32002180,-3.52269072,41.81564856,0,0,0,7.4,7.8,13.91,11.5,200,16.8,1.4,301.3,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2702,32002194,-3.550603786,41.93985919,23,36,41,7.2,7.71,16.1,60.6,278,0,2.1,238.4,C23,U120,ES,ES4,ES41,ES412,Woodland,Other coniferous woodland,Forestry
2703,32002224,-3.610938925,42.20593602,0,0,0,7.1,7.23,15.07,63.1,56,6.1,5.6,558.2,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2704,32002234,-3.631210179,42.29460146,0,0,0,6.8,7.1,20.9,56.3,7,6.1,3.6,155.8,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2705,32002248,-3.659725251,42.4187106,0,0,0,7.5,7.78,28.4,16,315,22.3,1.8,558.5,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2706,32002252,-3.667901558,42.45416554,0,0,0,7.6,8.01,15.83,15.6,393,24.6,1.8,420.6,B41,U111,ES,ES4,ES41,ES412,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
2707,32021736,-2.688977289,37.86531962,21,28,51,7.3,7.68,15.28,44,99,9.2,4.1,288.1,C10,U120,ES,ES6,ES61,ES614,Woodland,Broadleaved woodland,Forestry
2708,32021836,-2.859678531,38.75819245,0,0,0,7.6,8.17,11.35,14.8,164,10.5,1.2,544.2,B11,U111,ES,ES4,ES42,ES422,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
